amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
"1,935",Please help support Avery during chemo,U.S. Dollar,,of $2k goal,40,"My son Avery was diagnosed with acute myeloid leukemia on April 25th,
  2019 after a 6 day hospital stay. We have currently been in the
  hospital for 15 days and have at least 3 more weeks to go followed by
  a few days at home and more 28 day cycles in the hospital. During this
  time I have been with Avery 23 hours a day and haven’t been working
  while he receives chemo. I hate asking for help but during this
  process I need to lean on my village. Anything will help keep me here
  with Avery while we go through what is probably the hardest time in
  our life.",https://fundrazr.com/51UuZ5
680,Help Bre #keepmoving & maintain their independence with an Alinker walking bike!,Canadian Dollar,"Aug 6, 2019",of $2.8k goal,14,"Hey friends! Okay, so... I'm Bre. I'm 28 years old. I'm a lover of the
    creative process and its many forms. I love trying new things
    because I'm always up for a good challenge. However, I'm facing a
    pretty big challenge of a different sort currently and would really
    appreciate your help. I've lived with mobility issues since the age of
    nine, because of multiple spinal issues, but mostly due to multiple
    arachnoid cysts filled with fluid at the base of my spine which are
    compressing my nerves. I've had surgery to drain it in 2001, and it
    was stable for many years but recent MRIs have shown that it's
    become filled with fluid once again. Medically, I'm figuring out
    what my options are at the moment. In October of 2015, I woke up to feeling like there was a
    piece of tape stuck to the bottom of my right foot. Since then I've
    had multiple EMGs and MRIs done and am still left with not a lot of
    answers or solutions. Due to a combination of my complicated case
    and the scar tissue from my previous surgery, multiple neurosurgeons
    have told me they're not comfortable attempting another... so I'm
    left with a situation I need to find my own solution for. To get an idea of what I'm working with here, here's a picture
    of a ""healthy"" spine vs my spine: If you feel like deciphering doctor language, here's my most
    recent MRI report: ( Right-click on the pic > Open image in new tab to see it at full resolution) In summation: YIKES. What does this mean for me currently? Chronic Pain Numbness in my right foot makes it so I can't
      feel the floor when I go to take a step, therefore, balance issues I haven't been able to walk without a cane
      since 2016 I'm not able to walk very far, even with a
      cane, so I've been essentially housebound for these last few
      years, and boy, would I love not to be! I'm reliant on my brother and sister-in-law
      for anything that requires me to leave the house. (They are the
      best and don't mind, but I'd rather not have to!) So... What would the Alinker do for me? I'd be able to leave the house by myself(!!!) I could go get the mail! Grocery stores would once again be within my reach Unlike a wheelchair, I'd be able to rebuild
      and maintain muscle tone in my legs Be able to have a conversation while walking
      again instead of using all my energy focusing on trying not to fall I could enjoy my time at events, festivals,
      family trips, etc. without feeling like I'm slowing everyone down Having a seat with me at all times would be a
      dream come true I could explore the neighborhood and all its
      cool historic sites I could take my nieces to the park I could walk the family dog I would be closer to being as cool as Selma Blair It really would give me so much freedom back,
      open up my world again, and change my life. Thank you for your consideration and support ♥",https://fundrazr.com/f1VtI8
"1,847,335",American Gut,,,,,"The Human Microbiome Project and other microbiome projects
    worldwide have laid an important foundation for understanding the
    trillions of microbes that inhabit our bodies and their impact on
    health and disease. However, opportunities for the public to get
    involved in such research have been limited. Now, American Gut gives
    you an opportunity to join this research project and learn what’s
    living on and inside you. American Gut is a project built on the open-source, open-access
    principles of the Earth Microbiome Project. The data we collect is
    de-identified and then deposited into open repositories for the
    benefit of other researchers and scientists.  By participating in
    our project, you can help contribute to research that will help the
    world understand how the microbiome affects our health. In exchange
    for your participation, we generate a report summarizing the types
    of microbes observed in your sample, and how your sample relates to
    other people in the study. While American Gut mainly focuses on the gut as this is where
    most of our microbes reside, we will also look at areas like the
    oral and skin, as these areas of the body also contain microorganisms. The American Gut Project is a part of the Microsetta Initiative , with
    the goal of collecting microbiome samples and rich phenotypic data
    from populations across the globe. Some examples of what we have found using our data: Younger
  children tend to have more proteobacteria composing their microbiome.
   As you grow older, the diversity of your microbiome increases. (Based off our preliminary findings in 2014,
      found here ) There’s a significant difference between the types of bacteria
    found in industrialized populations vs. non-industrialized populations. McDonald et al. mSystems . May 2018. DOI: 10.1128/mSystems.00031-18 If You Live in the U.S.: Joining is
    simple! Select the kit you would like from the list of options on
    the right-hand side by clicking “Claim this perk” (if you would like
    to receive a certain number of kits that isn’t listed as a perk,
    email us at info@americangut.org ) . Your kit
    will arrive via USPS within 2 weeks after payment, unless you have added the “Priority Shipping”
    perk along with your kit. If You Live in Europe: Visit our sister site, British Gut , to join. If You Live in Australia or Singapore: While we do have sites set up in Australia and Singapore (known
    as Australian Gut and Asian Gut respectively), we ask that participants contribute an additional $25 on top
    of their contribution, which covers an international shipping fee . These sites allow participants to send their samples back to a
    local site, which then sends the samples back to our lab in the U.S.
    to reduce the costs of shipping. If you live in Australia or Singapore and would like to
    participate, claim a perk.  The next page will have an option to
    ""top off"" your contribution with an additional amount,
    which you will use to add in the $25 to mark your kit to go out. I f you do not include the $25 shipping fee, your kit will not be
      sent out until we have received it. Once we have received your transaction, we will forward your
    information to our collaborators. They will then send out a kit to
    you, which you will receive within 3 weeks . Please note that the r eturn time for results will take significantly longer than the
    expected 3 months for Australian/Asian Gut participants. The reason
    is that we have to bulk ship samples on dry ice back to our lab at
    UC San Diego.  This costs thousands of dollars per shipment, so it’s
    only feasible to do once enough samples are ready to ship. If You Live Anywhere
    Else: International participants are also
    welcome to join. The $25 international shipping fee also applies (which you must include in your contribution), along with other regulations . I f you do not include the $25 shipping fee, your kit will not
      be sent out until we have received it. We also ask that samples are shipped back to our lab within 48 hours of being collected. The cost of shipping to our lab in the U.S. from some
    locations can be expensive , so it is recommended that you look into the cost of return
    shipping (it is highly suggested to use FedEx as it is more
    reliable). If you are interested in learning the process of our project
    from start to finish, we have a video available here . Each kit contains a sample tube (or more, if ordered), an
    instruction manual on how to register your kit and take a sample,
    credentials to access our participant website, and return
    envelope(s) to send your sample back. Your results will provide a general overview of how your microbial profile
    compares to other participants ( these results are not intended to be medically actionable,
      and we cannot provide any personalized interpretation ). You will also receive a list of the microorganisms found in
    your sample and their relative abundances (based at the genus
    level).  Results are uploaded via our participant website, which you
    will get access to once you register your kit. For stool samples, it will take about 3-4 months for you to receive your results, and longer for those who are
      participating outside the U.S. (due to shipping procedures to send
      samples back to our lab, which is based at the University of
      California San Diego).  It takes approximately significantly
      longer (5+ months) to receive results if you submit one of the
      following sample types: Oral or skin samples . A desktop computer or laptop is recommended to register and log your sample into our
      participant portal website, as our participant website has
      compatibility issues on mobile devices and tablets.  The best
      browser to use when you register your kit is Google Chrome . Note that your de-identified information will be part of a
      research study and will be made available in a publicly available
      research database. That is, any personal information that might
      easily identify who you are will be removed before being placed in
      the public database. If you decide that you no longer wish to continue in this
      study, please send a request to the American Gut Project help
      account ( info@americangut.org ) to inform us of your intent to withdraw. You may request a
      refund within 50 days of your original payment if you have not yet used your kit. Please note that the Fundrazr transaction fee will be
        deducted from your refund. The consent forms are maintained on the participant website;
      details are included in your kit. To sign the consent form, you
      must agree to use an electronic format for your signature in
      accordance with the United States' eSIGN Act and California's UETA
      Act. You have the right to obtain the electronic record in a
      non-electronic form. The results you receive from submitting a sample are not
      meant to act as medical or health diagnoses . We will not be able to provide any clinical or medical
      information and recommendations from your results. If you have any questions or concerns, please email us at info@americangut.org.",https://fundrazr.com/americangut
"32,454",Helping Heidi with Cancer Treatments,U.S. Dollar,,of $100k goal,218,"For those that don’t know me I’m Heidi! For everyone else, Hi! And, if you haven’t heard already, please visit my website at https://peanutbutterandcancer.com/ for the full shebang. For those of you that may not be able to visit the website... Here’s the skinny. I have brain cancer. I know what you’re feeling, shock, me too
    when I first found out. It started when I was in North Carolina visiting my mom who was
    having a benign brain tumor removed on October 18th. (She’s
    recovering great.) While there, I began having some difficulty
    reading, super aggressive vomiting, and ultimately a raging
    headache. This lasted for a couple of days. My Nanny fortuitously
    took me to the ER in our hometown to, at the very least, get some
    fluids. During that visit, the docs did a CT scan which showed
    evidence of pressure on my brain and the team recommended further
    testing. So I flew back to Denver, CO on October 23. Noah (my
    husband) and I went to Porter ER for follow up. An MRI revealed a
    mass in my brain and they suggested immediate surgery. On 10/25 I
    underwent a successful surgery to remove the visible portions of the
    25mm mass and the tissue was sent out for testing. I was released
    from the hospital on 10/28. On November 1st, I found
    out I have the deadliest of all 120 types of brain tumors, Stage 4
    Glioblastoma (GBM). And... about 3 weeks ago we received some exciting news.  I tested
  positive for cytomegalovirus (CMV).  Which means the CVM is
    found in 60% of all GBMs.  It's also found in the stem cells of all
    GBMs.  This gives us reason to think the cause of the cancer could
    be from a virus. Which we are currently treating with antiviral
    medications. So, in a world of medicine that's not quite sure what
    to do with GBMs, this gives us a place to start. So, we got some fighting to do, huh? Here’s what treatment looks like. First I radically changed my diet (bye bye sugar and peanut butter) Then we started taking every supplement under the sun that is
    rumored to have anti-cancer properties. After consulting our naturopathic oncologist and nutritionist,
    we've narrowed down what supplements work for me.  Luckily, I've
    been able to take less pills. Yay! We've done the radiation and the first round of chemo. I'll
    still be doing small doses of chemo for the next 6 months. I’ve also been doing a number of alternative and spiritual
    treatments: sound bath, reiki, acupuncture Soon I’ll be starting Optune. (This is the part where I shave my
  head). You can check it out here if you want more info ... https://www.optune.com/ This is what I'll look like with the Optune on What I need from you. Send positive vibes. If you believe in Quantum Physics, you know
    energy can heal. Forward any contacts or resources you may have surrounding
    successful GBM treatments. Consider a monetary donation. Unfortunately, stupid cancer isn't
    cheap. GBM is like a needy, expensive house guest that doesn't know
    when to leave. If you feel compelled to donate, we appreciate your contribution.",https://fundrazr.com/pbandcancer
"3,181",Judy Gerdis Needs Costly Oral Chemo for Metastatic Breast Cancer,U.S. Dollar,"Aug 17, 2019",of $9k goal,35,"Hello, I am Tom and Judy Gerdis’ daughter, Trina Sutherland.
     Some of you may be aware in April of this year my mother, Judy, was
    told by her physicians that the breast cancer she fought hard to rid
    her body of in 2008 through 2009 has returned and is attacking her
    bones.  It is currently on a femur, in her tailbone,  shoulder,
    neck, some parts of the spine, and her lower skull. We were excited
    to learn through scans none of her organs have been affected. And we
    want to keep it that way! She began a 10 day treatment of radiation two weeks ago. Now she is
  waiting for her white blood cell count to recover so she may begin the
  oral chemo treatment called Ibrance. Ibrance is a very costly
  prescription. After insurance, it costs $2235.00 for a 21 day supply.
  This prescription could possibly need to be administered for the next
  year. I hope that we can all rally around my parents at this time so
  they will not have to refinance their home in order to pay for this
  lifesaving medicine. The cost of this one drug for a year is  close to
  $30,000. The first month is covered and then we have 30 days to band
  together before the bills hit for each new month’s prescription.  This
  is not including her other medications and treatments. My mom is determined to win this battle once more. Tom and Judy are
  confident the Lord is walking her through this journey  and the
  Father’s amazing healing works will be demonstrated mightily. Thank you for your donations and prayers! Every little bit will help
  my mom continue to fight the good fight. Please follow this page at
  the bottom to keep up with updates. If Ibrance is discontinued,
   whatever monies are raised will go to any other medical expenses my
  parents may incur.   Blessings!",https://fundrazr.com/f1VFVf
355,Help James get something off their chest!,U.S. Dollar,,of $8k goal,10,"About me: I’m a passionate animal lover from Roanoke,
  VA working at a nonprofit animal welfare organization in the
  Shenandoah Valley (yep, the same one the sad song is about). I was
  privileged as a young adult to spend time in safe spaces, and I found
  the latitude to question my gender. While I was described as a tomboy
  in my childhood, there is perhaps more to the story as an adult. The Challenge: I am deeply rooted to nonprofits and
  cause-based work, leaving little time and energy left towards pure
  capital gain. That said, over my years of questioning, researching,
  listening to trans people’s personal journeys, and amplifying voices
  where and when I can, surgery is going to be part of my transition to
  greater comfort in my own body and my own skin. While I find it
  difficult to put into language the nuance of how I feel in my body,
  the long and short of it is that I’m very uncomfortable with some of
  its features that cannot be the shape I feel they should without top surgery. The Goal: The purpose of this fundraiser is to raise
  money to pay for my top surgery. Donations will go directly to getting
  something off my chest so I can continue my work in the nonprofit
  sector with animals who have no voice otherwise. I humbly ask for your consideration among
  so many other worthy causes. A few dollars, a few cents, is deeply
  appreciated! Every contribution counts! No donation is too small!",https://fundrazr.com/boobsbegone
"5,460",Miles Turns Two,U.S. Dollar,,of $5k goal,48,"Miles was born at 9:35PM on June 8, 2017 at Advocate Lutheran General
  Hospital, and it was quickly discovered that something wasn't quite
  right. Miles was gasping for air and showing signs of seizures, and he
  was almost immediately whisked away to the NICU for what would be his
  home for months to come. After four, long days of tests, x-rays, and
  more pokes than one newborn should ever have to endure, it was
  discovered that Miles's ALP levels were ""immeasurable"" and
  many of his bones were so under-mineralized, that they didn't even
  show up on x-ray. While we didn't have genetic confirmation at this
  point (that would come a few weeks later), Miles was diagnosed with
  Infantile Hypophosphatasia - or HPP for short. With his essentially
  nonexistent ALP, Miles is unable to mineralize bones properly. His
  body also struggles with breaking down B6, which cause him to suffer
  from B6 responsive seizures. Thankfully for Miles and the rest of us,
  there is an enzyme replacement therapy that was recently approved by
  the FDA. Miles received his first injection on June 23. It took about two months to start to see some development in Miles's
  bones. His skull that was referred to as ""bone buds"" when he
  was born was finally starting to mineralize. His ribs that looked like
  toothpicks on the first x-ray were showing some strength. We had no
  idea for these first couple of months if the enzyme replacement
  therapy would work. And these x-rays were the first real sign of hope
  because by the end of July, Miles had tired himself out from his
  short, shallow breathing and found himself intubated. After much
  discussion with his doctors, Miles had surgery to get his trach and
  g-tube on August 9. Now you'd think that with a ventilator helping him breathe and the
  enzyme replacement therapy helping him mineralize his bones, we would
  have started to see marked improvement in Miles. But that wasn't the
  case. Miles continued to struggle. Growing bones is apparently quite
  painful (I mean even the great Harry Potter thought so). After some
  advocating by his wonderful nurses, Miles was given a morphine drip
  for the pain. He was also on a number of sedative drugs. It took until
  November, at over 5 months old, for Miles to be weaned off of his IV
  drips and have his central line removed. Even after his central line
  was removed, it took until December for him to be weaned completely
  off of morphine. And on January 16, 2018, after 222 days in the NICU, Miles was
  finally stable enough to come home. But this wasn't the end of Miles's
  medical adventures. Miles came home 100% ventilator and oxygen
  dependent. He also was fed entirely through a g-tube and never took a bottle. For the past year and a half, Miles has made major strides. He's
  learned to sit unassisted, to crawl, and even bear weight on his once
  broken legs. He's grown strong enough to start weaning off the vent.
  And he's begun taking some food by mouth. But Miles still has a
  lifetime of obstacles to overcome thanks to his HPP. For Miles's second birthday, we are raising money for Soft Bones.
  Soft Bones is an amazing organization that has helped us so much in
  Miles's first two years of life. They offer support and resources to
  HPP patients and families. They fund research to help better the lives
  of patients with HPP, and hopefully to one day fine a cure for HPP. We
  are honored to give back to this organization that has given us so much. For more information on HPP or Soft Bones, visit SoftBones.org",https://fundrazr.com/milesturnstwo
"7,430",Fundraiser for Michelle Smith,U.S. Dollar,"Jun 25, 2019",of $20k goal,73,"Hi my name is David Prendergast and I wanted to invite you to a event
  to help my sister Michelle Smith with her fight against cancer. We are
  holding a pig roast and beer fundraiser for Michelle Smith to help her
  pay medical bills and expenses related to her cancer treatment. Michelle is battling uterine cancer. We want to support her in her journey.",https://fundrazr.com/e1Vcz9
"5,620",Kidney for Bryanna,U.S. Dollar,"Jul 1, 2019",of $5k goal,58,"My daughter, Bryanna, needs a kidney. She is 19 years old and is one
  of the hardest working, loving and hilarious young Christian woman I
  have known. Unfortunately, while she was a junior in high school, it
  was discovered that her kidneys were failing. She was diagnosed with FSGS, which causes scarring in the tiny
  filters in her kidneys, rendering them useless. Several medications
  were used in an attempt to slow the progress of the disease but her
  body did not respond.  This past November she had a dialysis catheter
  placed and started dialysis. She does her dialysis at home and has so
  much responsibility between her daily 14 hour dialysis routine, many
  medications, strict diet and weekly clinic appointments. As her health
  declined, she has maintained a part time job and has taken classes at
  community college as she wants to become a registered nurse. She has
  nowhere near the stamina a 19 year old should have but she pushes
  herself so hard. Wait time for a type O kidney in Michigan is 5-5 1/2 years. As a
  parent it is gut wrenching to watch her suffer the fatigue, constant
  nausea, and occasional depression. A suitable live donor has not been
  found. Fort Worth, Texas currently has the shortest wait time in the
  nation at less than a year is estimated. As a result, we are uprooting
  our family and moving to Texas in order to have her listed there. We will be starting over with new insurance deductibles and, due to
  moving expenses, paying her medical costs will be very difficult.
  Please consider donating in order to offset the medical costs for her
  current treatment and help us prepare for a transplant. All donations
  will be kept in a separate account for her medical bills. Ability to
  afford medical expenses (such as post transplant anti-rejection
  medications) is necessary in order to be listed for transplant. We appreciate all support, whether it is monetary, a prayer or a word
  of encouragement. Please be sure to consider becoming a registered
  organ donor and be sure your family is aware of your wishes. There are
  so many people like Bryanna who are waiting. Thank you so much for reading this and for caring.",https://fundrazr.com/11Ugn5
"691,066",British Gut,,,,,"This is a unique open collaboration between the TwinsUK team at King's College London and The American Gut Project (AGP) / The Microsetta Initiative to expand the study of the bacterial diversity to
    participants in Europe. If you are a participant living outside Europe and would like
    to participate, please refer to our American Gut Fundrazr page . Many
  people don't realize that the bacteria that live inside us play an
  incredibly important role in our health. There are so many of them:
  They make up 50 percent of the cells in our body and their most
  important jobs include manufacturing vitamins for us and breaking down
  and digesting our food. The trillions of bacteria in our gut weigh
  nearly 2 kg (over 4lbs). This community of bacteria can be thought of
  as an extra 'organ' which we call our ""microbiome"".  Recent
  research has discovered that small changes in this finely balanced
  community can affect our immune system, metabolism, body weight, mood
  and may even cause diseases such as Crohn's disease, irritable bowel
  syndrome, cancer, autoimmune disease, diabetes and heart disease. This is the first project of its kind in Europe, as an extension
    of the American Gut Project & The Microsetta Initiative, based
    at the University of California San Diego.  We have collaborated
    with TwinsUK at King’s College London so that those living in Europe
    can participate, and with your help, we will be able to discover
    more about the crucial relationship between our health and our
    microbiome, and on a personal level, you will be able to discover
    the bacterial profile of your own gut. With your help, we hope to be
    able to answer questions such as 'How much does our choice of
    lifestyle and diet influence our microbiome, and can we alter our
    microbiome to make us healthier?' We are discovering that each person is very different and has
    their own unique microbiome. More research is needed to work out
    what constitutes a 'healthy' microbiome, and which combinations of
    bacteria are beneficial and which ones should be avoided. In order
    to do this ambitious and much-needed project, we urgently need a
    large scale collection of human samples. Over ten thousand people
    have already signed up in America already through the American Gut
    Project-- but we need many more from Europe. The project mainly focuses on the gut as this is our main
    'microbial home', however, the study will also look at areas like
    the oral and skin, as these areas of the body may be influenced by
    the microbiome. Joining is simple! Select the kit you would like from the list
    of options on the left-hand side by clicking “Claim this perk” found
    on the right side (if you would like to receive a specific number of
    kits that isn’t listed as a perk, email us at info@britishgut.org ). You will receive your kit within 3 weeks after payment. Shipping within the U.K. first class should be around £2.90, but
    we recommend taking the sample to the post office to get the proper
    postage. Getting the postage right on the first try is important
    since samples that spend a long time in transit will likely not
    produce the highest quality results. After you have returned your
    sample to us, we will then sent it to the Knight Lab at the
    University of California San Diego to be processed and analyzed. We estimate that the whole process will take about 4-5
  months. We typically bulk ship samples back to the Knight
  Lab every 1-2 months on dry ice to reduce shipping costs. Once your
  sample is arrives at the Knight Lab (you'll get a notification when
  they have received your sample), it takes approximately 3 months to
  return results. Each kit contains a sample collection device (or multiple if you
    ordered more than one), an instruction packet on how to sample, and
    return envelope(s) to send your sample tube(s) back. Once we provide you with your results, you will receive data
    visualization of how your results compare to other people who are
    within the same diet and lifestyle group as you (having different
    results from them does not necessarily mean anything bad, it can
    just be that you have different lifestyles that make bacterial
    profile is different).   In addition, you will be provided with a
    list of the major groups of bacteria in your sample and their
    relative abundances (based at the genus level). These results are not actionable,
      and we do not provide any personalized interpretation . It will take longer than the expected 4-5 months to receive
      results if you are submitting one of the following sample types: Oral or skin samples. A desktop computer or laptop is recommended to register and log your sample into our
      participant portal website, as our participant website has
      compatibility issues on mobile devices and tablets.  The best
      browser to use when you register your kit is Google Chrome. Note your de-identified information will be part of a
      research study and will be made available in a publicly available
      research database. That is, any personal information that might
      easily identify who you are will be removed before being placed in
      the public database. If you decide that you no longer wish to continue in this
      study, please send a request to the British Gut Project help
      account ( info@britishgut.org ) to inform us of your intent to withdraw. You may request a
      refund within 50 days of your original payment if you have not yet used your kit. Please note that the Fundrazr transaction fee will be
        deducted from your refund. The consent forms are maintained on the participant website;
      details are included in your kit. To sign the consent form, you
      must agree to use an electronic format for your signature in
      accordance with the United States' eSIGN Act and California's UETA
      Act. You have the right to obtain the electronic record in a
      non-electronic form. The results you receive from submitting a sample are not
      meant to act as medical or health diagnoses . We will not be able to provide any clinical or medical
      information/recommendations from your results. We look forward to working together on this new and exciting
      project! If you have any questions, email us at info@britishgut.org .",https://fundrazr.com/britishgut
